,name,team,year,PER,WS,WS40,BPM
0,Parker Wentz,abilene-christian,2014,18.5,3.9,.151,-3.8
1,Austin Cooke,abilene-christian,2014,15.2,2.9,.129,-1.0
2,Julian Edmonson,abilene-christian,2014,17.0,1.4,.097,-8.6
3,Jacob Lancaster,abilene-christian,2014,23.0,1.3,.124,-6.8
4,LaDarrien Williams,abilene-christian,2014,16.3,1.2,.098,-2.6
5,Michael Grant,abilene-christian,2014,10.2,0.9,.059,-7.4
6,Harrison Hawkins,abilene-christian,2014,12.8,0.9,.077,-3.7
7,Riley Payne,abilene-christian,2014,7.4,0.8,.056,-10.8
8,Rafael Farley,abilene-christian,2014,9.4,0.7,.064,-6.9
9,James Pegues,abilene-christian,2014,12.4,0.7,.064,-11.3
10,Alexsander Milosavljevic,abilene-christian,2014,10.8,0.2,.050,-8.1
11,Chris Blakeley,abilene-christian,2014,-2.1,-0.3,-.076,-16.0
12,Parker Wentz,abilene-christian,2015,17.1,2.5,.112,-1.7
13,Austin Cooke,abilene-christian,2015,14.9,2.2,.099,-2.1
14,Harrison Hawkins,abilene-christian,2015,16.2,1.2,.063,-4.8
15,LaDarrien Williams,abilene-christian,2015,15.2,1.2,.062,-4.3
16,Jalen Little,abilene-christian,2015,6.8,0.4,.020,-7.5
17,Isaiah Tripp,abilene-christian,2015,12.6,0.4,.079,-7.2
18,Riley Payne,abilene-christian,2015,5.4,0.3,.023,-9.4
19,Duran Porter,abilene-christian,2015,9.7,0.3,.031,-8.4
20,Michael Grant,abilene-christian,2015,9.5,0.2,.035,-9.7
21,K.J. Maura,abilene-christian,2015,10.9,0.2,.050,-5.8
22,Christian Albright,abilene-christian,2015,11.9,0.1,.021,-9.9
23,David Hanson,abilene-christian,2015,3.4,0.0,-.037,-14.6
24,Alexsander Milosavljevic,abilene-christian,2015,4.6,-0.1,-.030,-13.9
25,Drake Green,abilene-christian,2015,4.4,-0.2,-.036,-8.4
26,Jaren Lewis,abilene-christian,2016,22.4,2.7,.158,1.1
27,Jaylen Franklin,abilene-christian,2016,20.6,2.6,.117,-2.1
28,Parker Wentz,abilene-christian,2016,11.8,2.1,.092,-2.7
29,Duran Porter,abilene-christian,2016,17.0,1.7,.107,-3.8
30,Austin Cooke,abilene-christian,2016,13.8,1.6,.110,-3.1
31,Jalen Little,abilene-christian,2016,12.0,1.5,.084,-4.3
32,Jovan Crnic,abilene-christian,2016,10.7,0.7,.042,-6.1
33,Isaiah Tripp,abilene-christian,2016,10.8,0.7,.091,-5.0
